id,topic,sub_topic,text,option_1,option_2,option_3,option_4,correct_answer,creator
1,Math,Algebra,What is the value of x in the equation 2x + 3 = 7? (v1),1,2,3,4,2,admin
2,Science,Physics,What is the acceleration due to gravity on Earth? (v1),8.8 m/sï¿,9.8 m/sï¿,10.8 m/sï¿,7.8 m/sï¿,9.8 m/sï¿,admin
3,History,Ancient,Who was the first emperor of Rome? (v1),Julius Caesar,Augustus,Nero,Caligula,Augustus,admin
4,Computer Science,Programming,Which keyword is used to create a class in Java? (v1),function,define,class,new,class,admin
5,Literature,Poetry,Who wrote 'The Raven'? (v1),Robert Frost,William Shakespeare,Edgar Allan Poe,Emily Dickinson,Edgar Allan Poe,admin
6,Math,Geometry,What is the sum of interior angles of a triangle? (v1),90ï¿,180ï¿,270ï¿,360ï¿,180ï¿,admin
7,Science,Chemistry,What is the chemical symbol for Gold? (v1),Au,Ag,Fe,Gd,Au,admin
8,History,Modern,In which year did World War II end? (v1),1943,1944,1945,1946,1945,admin
9,Computer Science,Networks,What does 'IP' stand for in networking? (v1),Internet Provider,Internet Protocol,Internal Protocol,Interface Protocol,Internet Protocol,admin
10,Literature,Drama,Who is the tragic hero in Shakespeare's 'Macbeth'? (v1),Hamlet,Othello,Macbeth,Lear,Macbeth,admin
11,Math,Algebra,What is the value of x in the equation 2x + 3 = 7? (v2),1,2,3,4,2,admin
12,Science,Physics,What is the acceleration due to gravity on Earth? (v2),8.8 m/sï¿,9.8 m/sï¿,10.8 m/sï¿,7.8 m/sï¿,9.8 m/sï¿,admin
13,History,Ancient,Who was the first emperor of Rome? (v2),Julius Caesar,Augustus,Nero,Caligula,Augustus,admin
14,Computer Science,Programming,Which keyword is used to create a class in Java? (v2),function,define,class,new,class,admin
15,Literature,Poetry,Who wrote 'The Raven'? (v2),Robert Frost,William Shakespeare,Edgar Allan Poe,Emily Dickinson,Edgar Allan Poe,admin
16,Math,Geometry,What is the sum of interior angles of a triangle? (v2),90ï¿,180ï¿,270ï¿,360ï¿,180ï¿,admin
17,Science,Chemistry,What is the chemical symbol for Gold? (v2),Au,Ag,Fe,Gd,Au,admin
18,History,Modern,In which year did World War II end? (v2),1943,1944,1945,1946,1945,admin
19,Computer Science,Networks,What does 'IP' stand for in networking? (v2),Internet Provider,Internet Protocol,Internal Protocol,Interface Protocol,Internet Protocol,admin
20,Literature,Drama,Who is the tragic hero in Shakespeare's 'Macbeth'? (v2),Hamlet,Othello,Macbeth,Lear,Macbeth,admin
21,Math,Algebra,What is the value of x in the equation 2x + 3 = 7? (v3),1,2,3,4,2,admin
22,Science,Physics,What is the acceleration due to gravity on Earth? (v3),8.8 m/sï¿,9.8 m/sï¿,10.8 m/sï¿,7.8 m/sï¿,9.8 m/sï¿,admin
23,History,Ancient,Who was the first emperor of Rome? (v3),Julius Caesar,Augustus,Nero,Caligula,Augustus,admin
24,Computer Science,Programming,Which keyword is used to create a class in Java? (v3),function,define,class,new,class,admin
25,Literature,Poetry,Who wrote 'The Raven'? (v3),Robert Frost,William Shakespeare,Edgar Allan Poe,Emily Dickinson,Edgar Allan Poe,admin
26,Math,Geometry,What is the sum of interior angles of a triangle? (v3),90ï¿,180ï¿,270ï¿,360ï¿,180ï¿,admin
27,Science,Chemistry,What is the chemical symbol for Gold? (v3),Au,Ag,Fe,Gd,Au,admin
28,History,Modern,In which year did World War II end? (v3),1943,1944,1945,1946,1945,admin
29,Computer Science,Networks,What does 'IP' stand for in networking? (v3),Internet Provider,Internet Protocol,Internal Protocol,Interface Protocol,Internet Protocol,admin
30,Literature,Drama,Who is the tragic hero in Shakespeare's 'Macbeth'? (v3),Hamlet,Othello,Macbeth,Lear,Macbeth,admin
31,Math,Algebra,What is the value of x in the equation 2x + 3 = 7? (v4),1,2,3,4,2,admin
32,Science,Physics,What is the acceleration due to gravity on Earth? (v4),8.8 m/sï¿,9.8 m/sï¿,10.8 m/sï¿,7.8 m/sï¿,9.8 m/sï¿,admin
33,History,Ancient,Who was the first emperor of Rome? (v4),Julius Caesar,Augustus,Nero,Caligula,Augustus,admin
34,Computer Science,Programming,Which keyword is used to create a class in Java? (v4),function,define,class,new,class,admin
35,Literature,Poetry,Who wrote 'The Raven'? (v4),Robert Frost,William Shakespeare,Edgar Allan Poe,Emily Dickinson,Edgar Allan Poe,admin
36,Math,Geometry,What is the sum of interior angles of a triangle? (v4),90ï¿,180ï¿,270ï¿,360ï¿,180ï¿,admin
37,Science,Chemistry,What is the chemical symbol for Gold? (v4),Au,Ag,Fe,Gd,Au,admin
38,History,Modern,In which year did World War II end? (v4),1943,1944,1945,1946,1945,admin
39,Computer Science,Networks,What does 'IP' stand for in networking? (v4),Internet Provider,Internet Protocol,Internal Protocol,Interface Protocol,Internet Protocol,admin
40,Literature,Drama,Who is the tragic hero in Shakespeare's 'Macbeth'? (v4),Hamlet,Othello,Macbeth,Lear,Macbeth,admin
